"","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"2311","H2",2004,2004,"2004",2,0,1,"Import",702,"Singapore","SGP",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,648163491,NA,NA,0
"2312","H2",2004,2004,"2004",2,0,2,"Export",702,"Singapore","SGP",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,730397358,NA,NA,0
"2313","H2",2004,2004,"2004",2,0,1,"Import",703,"Slovakia","SVK",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,837710036,NA,NA,0
"2314","H2",2004,2004,"2004",2,0,2,"Export",703,"Slovakia","SVK",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,166336972,NA,NA,0
"2315","H2",2004,2004,"2004",2,0,1,"Import",704,"Viet Nam","VNM",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,444402410,NA,NA,0
"2316","H2",2004,2004,"2004",2,0,2,"Export",704,"Viet Nam","VNM",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,12268491,NA,NA,0
"2317","H2",2004,2004,"2004",2,0,1,"Import",705,"Slovenia","SVN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,456337816,NA,NA,0
"2318","H2",2004,2004,"2004",2,0,2,"Export",705,"Slovenia","SVN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,1052837502,NA,NA,0
"2319","H2",2004,2004,"2004",2,0,4,"Re-Import",705,"Slovenia","SVN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,110851,NA,NA,0
"2320","H2",2004,2004,"2004",2,0,1,"Import",710,"South Africa","ZAF",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,961415142,NA,NA,0
"2321","H2",2004,2004,"2004",2,0,2,"Export",710,"South Africa","ZAF",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,108455093,NA,NA,0
"2322","H2",2004,2004,"2004",2,0,1,"Import",716,"Zimbabwe","ZWE",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,20446104,NA,NA,0
"2323","H2",2004,2004,"2004",2,0,2,"Export",716,"Zimbabwe","ZWE",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,3505306,NA,NA,0
"2324","H2",2004,2004,"2004",2,0,1,"Import",724,"Spain","ESP",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,7925833483,NA,NA,0
"2325","H2",2004,2004,"2004",2,0,2,"Export",724,"Spain","ESP",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,4423423490,NA,NA,0
"2326","H2",2004,2004,"2004",2,0,1,"Import",752,"Sweden","SWE",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,2446990510,NA,NA,0
"2327","H2",2004,2004,"2004",2,0,2,"Export",752,"Sweden","SWE",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,6667435768,NA,NA,0
"2328","H2",2004,2004,"2004",2,0,1,"Import",757,"Switzerland","CHE",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,10627648487,NA,NA,0
"2329","H2",2004,2004,"2004",2,0,2,"Export",757,"Switzerland","CHE",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,19753280352,NA,NA,0
"2330","H2",2004,2004,"2004",2,0,1,"Import",764,"Thailand","THA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,545223546,NA,NA,0
"2331","H2",2004,2004,"2004",2,0,2,"Export",764,"Thailand","THA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,125042038,NA,NA,0
